Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
K | ABO | 26-02-2024 | testing,Ad group 20240226111545,10 - ZYMUNO - EBLIETHOS - TM 10 (UDAH OK).mp4_2024-02-26 11:16:13,2024-02-26,1380,0,14838,93,0,0.0,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2023-12-28,60756,3375,11491,5287,18,0.34,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2023-12-29,83557,2881,13496,6191,29,0.47,1,83557,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2023-12-30,159383,9961,175146,910,16,1.76,1,159383,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2023-12-31,82568,5897,23337,3538,14,0.4,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2024-01-01,82808,7528,28495,2906,11,0.38,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2024-01-02,4983,4983,11222,444,1,0.23,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2024-01-03,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2024-01-04,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2024-01-05,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2024-01-06,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 28-12-2023 | scale out,Ad group 20231228085134,2 KALI OP.mov_2023-12-28 08:52:22,2024-02-18,0,0,0,0,0,0.0,0,0,IDR
