Campaign name,Ad Group Name,Date,Ad Name,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-11,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,1926200,2613,10853,177476,737,0.42,21,91723,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-14,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,1771239,2784,11640,152163,636,0.42,19,93223,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-13,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,1652993,2792,10042,164594,592,0.36,15,110199,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-12,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,1573543,2114,8206,191754,744,0.39,10,157354,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-10,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,1544083,1814,6716,229902,851,0.37,22,70185,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2023-12-16,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,1371564,3534,14646,93643,388,0.41,9,152396,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-12,zym nanda20.mov_2023-09-09 09:07:58,1323961,2364,8023,165008,560,0.34,10,132396,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-13,zym nanda20.mov_2023-09-09 09:07:58,1280765,2937,10508,121878,436,0.36,7,182966,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-14,zym nanda20.mov_2023-09-09 09:07:58,1278096,2640,9785,130610,484,0.37,9,142010,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-08,zym ads 76.mp4_2023-08-22 15:47:24,1206573,3538,16247,74261,341,0.46,31,38921,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-12-12,zym nanda16.mov_2023-10-23 08:59:01,1189925,3765,21251,55993,316,0.56,18,66106,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-09,zym ads 76.mp4_2023-08-22 15:47:24,1184759,2896,11138,106365,409,0.38,21,56417,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-10,zym ads 76.mp4_2023-08-22 15:47:24,1162052,2786,18236,63722,417,0.65,23,50524,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-12-08,zym nanda16.mov_2023-10-23 08:59:01,1090906,2462,13404,81384,443,0.54,21,51947,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-12-13,zym nanda16.mov_2023-10-23 08:59:01,1086759,3610,19334,56207,301,0.54,15,72450,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-12-11,zym nanda16.mov_2023-10-23 08:59:01,1086429,3034,15123,71837,358,0.50,18,60357,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-28,zym nanda20.mov_2023-09-09 09:07:58,1073098,4790,13346,80404,224,0.28,9,119233,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-26,zym nanda20.mov_2023-09-09 09:07:58,964643,4445,12700,75954,217,0.29,13,74203,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-01-11,zym nanda20.mov_2023-09-09 09:07:58,944420,2222,8732,108149,425,0.39,11,85856,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-03-03,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,930406,2236,6328,147024,416,0.28,20,46520,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-21,zym ads 76.mp4_2023-08-22 15:47:24,929984,2460,11632,79948,378,0.47,7,132854,IDR
#ISU STICH ZYMUNO,K | ABO | 30-12-2023 | scale out,2024-03-05,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,927942,2325,6619,140189,399,0.28,12,77328,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-16,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,925950,3138,12314,75193,295,0.39,13,71226,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-29,zym nanda20.mov_2023-09-09 09:07:58,916982,2028,7261,126277,452,0.36,3,305660,IDR
K | ABO | 23-10-2023 | scale up,Ad group7,2023-12-05,zym pydr.mp4_2023-10-23 08:59:01,906712,1645,5558,163114,551,0.34,17,53336,IDR
K | ABO | 03-11-2023 |scale up,Ad group 20231103100454,2024-01-19,2X SEHARI 2 SENDOK.mov_2023-11-03 10:06:02,905827,3392,14178,63888,267,0.42,8,113228,IDR
K | ABO | 10-09-2023 | scale up,K | ABO | 10-09-2023 | scale up,2024-03-27,zym nanda20.mov_2023-09-09 09:07:58,896342,5303,12308,72821,169,0.23,9,99593,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-11,zym ads 76.mp4_2023-08-22 15:47:24,894971,3744,22163,40381,239,0.59,21,42617,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2024-03-02,zym ads 76.mp4_2023-08-22 15:47:24,894048,3519,11426,78245,254,0.32,12,74504,IDR
K | ABO | 23-09-2023 | scale up,Ad group3,2023-12-14,zym ads 76.mp4_2023-08-22 15:47:24,889519,3645,14579,61013,244,0.40,10,88951,IDR
#ISU STICH ZYMUNO,K | ABO | 17-02-2024 | scale out,2024-03-05,JANGAN BELI DISINI.mov_2023-12-30 10:28:50,885709,1785,6635,133474,496,0.37,9,98412,IDR
